Date,Open,High,Low,Close,BuyWeightingRule,SellWeightingRule,P2L_Ratio,P2L_RatioPositive,P2L_RatioNegative,P2L_RatioNeutral,RangeVariance
2018-08-08,-0.182235,0.407622,-0.447888,-0.105903,0.000000,10.000000,-10.773907,0.000000,10.773907,0.000000,4.210882
2018-08-09,-0.074572,0.451568,-0.402960,0.305233,0.000000,0.000000,-1.979663,0.000000,1.979663,0.000000,4.178466
2018-08-10,-0.682985,-0.605043,-1.914780,-1.687258,0.000000,0.000000,-0.632945,0.000000,0.632945,1.000000,4.462576
2018-08-13,-0.519381,-0.183988,-0.677002,-0.439129,0.000000,0.000000,-0.888077,0.000000,0.888077,0.000000,4.495198
2018-08-14,0.574776,0.689815,-0.427218,0.000869,0.000000,0.000000,-0.138760,0.000000,0.138760,1.000000,4.636292
2018-08-15,0.260446,0.438420,-1.498653,-1.232168,1.000000,0.000000,0.341504,0.341504,0.000000,1.000000,4.549718
2018-08-16,0.247601,0.559445,0.037407,0.469377,0.000000,0.000000,0.319768,0.319768,0.000000,1.000000,4.591063
2018-08-17,0.032258,0.049478,-0.669807,-0.175616,1.000000,0.000000,-0.099330,0.000000,0.099330,1.000000,4.620240
2018-08-20,0.336428,1.044110,0.224519,0.774374,0.000000,0.000000,-0.518854,0.000000,0.518854,1.000000,4.617630
2018-08-21,-0.070933,0.669430,-0.098738,0.351294,0.000000,0.000000,-0.743367,0.000000,0.743367,0.000000,4.642311
2018-08-22,-0.195372,0.365445,-0.264251,0.008163,0.000000,0.000000,-0.817853,0.000000,0.817853,0.000000,4.680474
2018-08-23,-0.131376,0.182498,-0.231825,-0.145079,0.000000,0.000000,-0.894287,0.000000,0.894287,0.000000,4.740428
2018-08-24,0.222536,0.563449,-0.151145,0.207008,0.000000,0.000000,-1.584369,0.000000,1.584369,0.000000,4.774100
2018-08-27,0.470291,1.156940,0.240005,0.991098,0.000000,10.000000,-10.987852,0.000000,10.987852,0.000000,4.765009
2018-08-28,0.283047,0.411932,-0.076406,-0.076406,0.000000,10.000000,-10.947534,0.000000,10.947534,0.000000,4.633549
2018-08-29,0.189318,0.298147,-0.199695,0.245306,0.000000,10.000000,-10.833543,0.000000,10.833543,0.000000,4.419626
2018-08-30,-0.332947,-0.238883,-1.191909,-0.497536,0.000000,1.000000,-4.571353,0.000000,4.571353,0.000000,3.940964
2018-08-31,-0.550967,-0.488600,-1.053850,-0.943995,0.000000,0.000000,-1.746137,0.000000,1.746137,0.000000,3.943637
2018-09-03,-0.194379,-0.044547,-0.480969,-0.133493,0.000000,0.000000,-1.142189,0.000000,1.142189,0.000000,3.989676
2018-09-04,0.313765,0.411504,-1.338885,-0.992685,0.000000,0.000000,0.507424,0.507424,0.000000,1.000000,3.941102
2018-09-05,-0.346832,-0.306049,-1.245993,-1.212423,2.000000,0.000000,2.211196,2.211196,0.000000,0.000000,3.928552
2018-09-06,-0.315720,0.364298,-0.678527,-0.602514,3.000000,0.000000,10.745055,10.745055,0.000000,0.000000,3.930335
2018-09-07,0.036670,0.268881,-0.504193,0.033118,3.000000,0.000000,5.934801,5.934801,0.000000,0.000000,3.955824
2018-09-10,-0.068457,0.600049,-0.221127,0.201373,2.000000,0.000000,2.084931,2.084931,0.000000,0.000000,4.395417
2018-09-11,0.202189,0.237977,-0.916335,-0.121832,1.000000,0.000000,1.194765,1.194765,0.000000,0.000000,5.003285
2018-09-12,0.156741,0.630187,-0.146671,0.511721,0.000000,0.000000,-0.301462,0.000000,0.301462,1.000000,6.349196
2018-09-13,0.036679,0.796522,-0.121628,0.189921,0.000000,0.000000,-0.626744,0.000000,0.626744,1.000000,6.407117
2018-09-14,0.445100,0.653257,0.165652,0.568820,0.000000,0.000000,-0.494628,0.000000,0.494628,1.000000,6.847207
2018-09-17,-0.581002,-0.010605,-0.714218,-0.238727,0.000000,0.000000,-0.650440,0.000000,0.650440,1.000000,6.906270
2018-09-18,0.006661,0.751251,-0.273182,0.522971,0.000000,0.000000,-1.113697,0.000000,1.113697,0.000000,6.929915
2018-09-19,0.090277,0.715591,0.063528,0.525954,0.000000,0.000000,-1.398905,0.000000,1.398905,0.000000,6.988776
2018-09-20,-0.066710,1.119033,-0.069850,0.888387,0.000000,10.000000,-11.318211,0.000000,11.318211,0.000000,6.987960
2018-09-21,0.622067,1.075568,0.387325,0.851837,0.000000,10.000000,-11.295423,0.000000,11.295423,0.000000,6.987624
2018-09-24,-0.401372,-0.176921,-0.689928,-0.677069,0.000000,1.000000,-3.528680,0.000000,3.528680,0.000000,8.677068
2018-09-25,-0.075070,0.552725,-0.239584,0.199499,0.000000,10.000000,-11.527778,0.000000,11.527778,0.000000,9.173437
2018-09-26,0.172111,0.178142,-0.378246,0.094095,0.000000,10.000000,-11.591166,0.000000,11.591166,0.000000,9.907208
2018-09-27,-0.468923,0.587724,-0.940010,0.412566,0.000000,10.000000,-11.580012,0.000000,11.580012,0.000000,9.592254
2018-09-28,-0.432278,-0.330247,-1.953118,-1.505450,0.000000,10.000000,-11.563838,0.000000,11.563838,0.000000,9.303673
2018-10-01,0.148984,0.984142,0.127288,0.717734,0.000000,2.000000,-4.882507,0.000000,4.882507,0.000000,9.151822
2018-10-02,-0.891357,-0.229166,-1.097827,-0.417065,0.000000,10.000000,-11.533122,0.000000,11.533122,0.000000,9.160063
2018-10-04,-0.101418,0.496806,-0.915209,-0.352177,0.000000,10.000000,-11.488495,0.000000,11.488495,0.000000,8.391425
2018-10-05,-0.063783,0.010324,-1.142381,-1.074527,0.000000,10.000000,-11.324800,0.000000,11.324800,0.000000,7.175447
2018-10-08,-0.528712,-0.313014,-1.367190,-1.301158,0.000000,10.000000,-11.206881,0.000000,11.206881,0.000000,6.629430
2018-10-09,0.125784,0.393162,-1.099535,0.229573,0.000000,10.000000,-11.160284,0.000000,11.160284,0.000000,6.443288
2018-10-10,-0.003802,0.011563,-1.938890,-1.937204,0.000000,0.000000,-0.801795,0.000000,0.801795,0.000000,5.440818
2018-10-11,-1.083879,-0.084722,-1.369259,-1.222477,0.000000,0.000000,-1.318048,0.000000,1.318048,0.000000,5.405748
2018-10-12,1.049224,1.065571,-0.171053,-0.107185,0.000000,0.000000,-0.480199,0.000000,0.480199,1.000000,5.382449
2018-10-15,0.000000,0.677756,-0.433463,0.605036,0.000000,0.000000,-1.505724,0.000000,1.505724,0.000000,5.369454
2018-10-16,0.152028,1.140472,-0.046596,1.052336,0.000000,10.000000,-11.022326,0.000000,11.022326,0.000000,5.344390
2018-10-17,0.222130,0.453168,-0.678031,-0.391333,0.000000,10.000000,-10.865383,0.000000,10.865383,0.000000,4.945856
2018-10-18,-0.121511,0.466629,-0.788295,-0.770597,0.000000,1.000000,-2.357581,0.000000,2.357581,0.000000,4.237955
2018-10-19,-0.063947,0.173257,-0.558709,-0.218373,0.000000,10.000000,-10.757285,0.000000,10.757285,0.000000,4.256119
2018-10-22,0.680174,0.751753,-0.345046,-0.179335,0.000000,0.000000,0.288534,0.288534,0.000000,1.000000,4.239039
2018-10-23,-0.895031,-0.742939,-1.689012,-1.427643,1.000000,0.000000,0.837259,0.837259,0.000000,0.000000,4.430980
2018-10-24,0.134140,0.647635,-0.591383,-0.454931,2.000000,0.000000,4.568288,4.568288,0.000000,0.000000,4.390129
2018-10-25,-0.487457,0.699010,-0.593966,0.605663,1.000000,0.000000,2.651971,2.651971,0.000000,0.000000,4.338923
2018-10-26,-0.649353,-0.521345,-1.318057,-0.548161,2.000000,0.000000,0.724075,0.724075,0.000000,0.000000,4.284739
2018-10-29,0.360622,1.257369,0.094209,0.694272,1.000000,0.000000,0.230532,0.230532,0.000000,1.000000,4.239179
